                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3937,                 3.0008,                 1.4954,                0.51267,                0.28776,                0.30621,                0.13208,                 1.9928,                 2.5941,                 1.9264,              0.0002351,              0.0002351,              0.0002351
                      2,                 1.2977,                 1.8471,                 1.4356,                 0.5853,                0.36843,                0.42451,                0.19481,                 1.9018,                 2.0773,                 1.8813,             0.00045749,             0.00045749,             0.00045749
                      3,                 1.2464,                 1.6401,                 1.4048,                0.55439,                0.45537,                0.45513,                0.20174,                  1.934,                 2.0843,                 1.9238,             0.00066417,             0.00066417,             0.00066417
                      4,                 1.2081,                 1.5303,                 1.3659,                 0.6558,                0.45176,                0.50193,                0.23226,                 1.8795,                 1.9573,                 1.8505,             0.00064331,             0.00064331,             0.00064331
                      5,                  1.183,                 1.4525,                 1.3454,                0.60976,                0.48603,                0.50549,                0.24897,                 1.8539,                 1.8273,                 1.8083,             0.00064331,             0.00064331,             0.00064331
                      6,                 1.1627,                 1.3994,                 1.3348,                0.70495,                0.50621,                0.55326,                0.24743,                 1.9412,                 1.7648,                 1.8753,             0.00061975,             0.00061975,             0.00061975
                      7,                 1.1456,                 1.3329,                  1.312,                0.73791,                0.51632,                0.59797,                0.28823,                 1.8212,                 1.5455,                 1.8103,             0.00059619,             0.00059619,             0.00059619
                      8,                 1.1218,                 1.2928,                 1.2988,                0.62185,                0.52688,                0.55154,                 0.2675,                 1.7966,                 1.7513,                 1.7753,             0.00057263,             0.00057263,             0.00057263
                      9,                 1.1105,                  1.237,                 1.2878,                0.69813,                 0.5174,                0.54471,                0.24149,                 1.8564,                 1.6264,                 1.9014,             0.00054907,             0.00054907,             0.00054907
                     10,                 1.0892,                 1.2192,                 1.2786,                0.77265,                0.54326,                 0.5991,                0.28338,                 1.8742,                 1.5982,                 1.8324,              0.0005255,              0.0005255,              0.0005255
                     11,                 1.0779,                  1.169,                 1.2605,                0.77144,                0.60269,                0.66288,                0.33539,                 1.7045,                 1.3587,                 1.7006,             0.00050194,             0.00050194,             0.00050194
                     12,                 1.0518,                 1.1401,                 1.2542,                0.72547,                0.61905,                0.66222,                0.35686,                 1.6461,                   1.32,                 1.6347,             0.00047838,             0.00047838,             0.00047838
                     13,                 1.0592,                 1.1198,                  1.245,                0.79553,                0.58079,                0.65866,                0.34431,                 1.6803,                 1.3504,                 1.6865,             0.00045482,             0.00045482,             0.00045482
                     14,                 1.0359,                  1.073,                 1.2327,                0.85639,                0.57793,                0.67538,                0.36802,                  1.624,                 1.2922,                 1.6398,             0.00043126,             0.00043126,             0.00043126
                     15,                 1.0289,                 1.0575,                 1.2239,                0.85143,                 0.5946,                0.67526,                0.36039,                 1.6795,                 1.2527,                 1.6612,             0.00040769,             0.00040769,             0.00040769
                     16,                 1.0073,                 1.0225,                 1.2095,                0.83089,                0.60617,                0.68478,                0.37867,                 1.6004,                 1.2533,                 1.5796,             0.00038413,             0.00038413,             0.00038413
                     17,                 1.0073,                 1.0143,                 1.2114,                0.83024,                0.60412,                0.68833,                0.38321,                 1.5914,                 1.2228,                 1.6042,             0.00036057,             0.00036057,             0.00036057
                     18,                0.99378,                0.99431,                 1.2007,                0.83058,                 0.6344,                 0.7068,                0.37849,                 1.5953,                   1.19,                  1.607,             0.00033701,             0.00033701,             0.00033701
                     19,                0.98604,                 0.9707,                 1.1941,                0.84903,                0.62297,                0.70236,                0.38482,                  1.579,                 1.1833,                 1.5804,             0.00031345,             0.00031345,             0.00031345
                     20,                 0.9802,                0.95751,                 1.1886,                0.81835,                0.65125,                0.70928,                0.40199,                 1.5751,                 1.1239,                 1.5992,             0.00028988,             0.00028988,             0.00028988
                     21,                 1.0106,                0.90817,                 1.2122,                0.84675,                0.64309,                0.71109,                0.41713,                 1.5139,                 1.0863,                  1.542,             0.00026632,             0.00026632,             0.00026632
                     22,                0.98837,                0.86501,                  1.197,                0.80719,                0.64956,                0.71614,                0.41314,                 1.5166,                 1.0713,                 1.5417,             0.00024276,             0.00024276,             0.00024276
